Num,식품코드,,,FoodName,,,,Category,ServingSize,,Kcal,,,,Protein,Fat,Carbo,,,,,,,,,,,,,,,,,,,,,Natrium
82,D00082,,,탕수육,,,,기타,200,,456.724,,,,17.476,19.943,51.832,,,,,,,,,,,,,,,,,,,,,442.98
83,D00083,,,팔보채,,,,기타,300,,240.739,,,,25.417,10.44,11.277,,,,,,,,,,,,,,,,,,,,,1129.304
84,D00084,,,팥빙수,,,,기타,400,,479,,,,12.4,9.4,86.3,,,,,,,,,,,,,,,,,,,,,183.67
85,D00085,,,해파리냉채,,,,기타,150,,91,,,,6.2,1.4,13.4,,,,,,,,,,,,,,,,,,,,,508.77
86,D00086,,,갓김치,,,,김치류,50,,29.182,,,,1.777,0.62,4.123,,,,,,,,,,,,,,,,,,,,,448.988
87,D00087,,,고들빼기,,,,김치류,50,,55.525,,,,1.58,0.608,10.934,,,,,,,,,,,,,,,,,,,,,742.429
88,D00088,,,깍두기,,,,김치류,50,,18.334,,,,0.829,0.184,3.341,,,,,,,,,,,,,,,,,,,,,323.468
89,D00089,,,깻잎김치,,,,김치류,150,,131,,,,5.2,2.9,21.1,,,,,,,,,,,,,,,,,,,,,1761.78
90,D00090,,,나박김치,,,,김치류,100,,13.717,,,,0.612,0.523,1.639,,,,,,,,,,,,,,,,,,,,,498.439
91,D00091,,,동치미,,,,김치류,400,,61,,,,1.9,1,11.1,,,,,,,,,,,,,,,,,,,,,2223.74
92,D00092,,,배추겉절이,,,,김치류,50,,22,,,,1.1,0.4,3.4,,,,,,,,,,,,,,,,,,,,,325.66
93,D00093,,,배추김치,,,,김치류,50,,19.131,,,,1.231,0.289,2.901,,,,,,,,,,,,,,,,,,,,,312.081
94,D00094,,,백김치,,,,김치류,50,,21.223,,,,0.533,0.256,4.196,,,,,,,,,,,,,,,,,,,,,249.065
95,D00095,,,부추김치,,,,김치류,50,,34,,,,1.6,0.7,5.4,,,,,,,,,,,,,,,,,,,,,383.7
96,D00096,,,열무김치,,,,김치류,50,,16.77,,,,1.124,0.282,2.435,,,,,,,,,,,,,,,,,,,,,310.351
97,D00097,,,열무얼갈이김치,,,,김치류,50,,17.684,,,,1.074,0.328,2.608,,,,,,,,,,,,,,,,,,,,,339.903
98,D00098,,,오이소박이,,,,김치류,50,,17.383,,,,0.846,0.465,2.453,,,,,,,,,,,,,,,,,,,,,266.002
99,D00099,,,총각김치,,,,김치류,50,,18.634,,,,1.158,0.304,2.818,,,,,,,,,,,,,,,,,,,,,337.763
100,D00100,,,파김치,,,,김치류,50,,29.54,,,,1.489,0.604,4.537,,,,,,,,,,,,,,,,,,,,,408.047
101,D00101,,,가지나물,,,,나물류,50,,23.014,,,,0.609,1.111,2.645,,,,,,,,,,,,,,,,,,,,,152.2
102,D00102,,,고사리나물,,,,나물류,50,,45.64,,,,2.015,2.734,3.243,,,,,,,,,,,,,,,,,,,,,257.375
103,D00103,,,도라지나물,,,,나물류,50,,55.809,,,,0.823,3.666,4.879,,,,,,,,,,,,,,,,,,,,,253.137
104,D00104,,,무나물,,,,나물류,50,,33.027,,,,0.474,2.275,2.665,,,,,,,,,,,,,,,,,,,,,280.458
105,D00105,,,미나리나물,,,,나물류,50,,29.534,,,,1.016,1.833,2.242,,,,,,,,,,,,,,,,,,,,,150.33
106,D00106,,,숙주나물,,,,나물류,50,,20.167,,,,1.089,1.163,1.337,,,,,,,,,,,,,,,,,,,,,188.352
107,D00107,,,시금치나물,,,,나물류,50,,40.26,,,,1.951,2.714,2.008,,,,,,,,,,,,,,,,,,,,,217.558
108,D00108,,,시래기나물,,,,나물류,50,,47.585,,,,1.51,3.476,2.566,,,,,,,,,,,,,,,,,,,,,216.81
109,D00109,,,취나물,,,,나물류,50,,74.1,,,,1.375,6.153,3.306,,,,,,,,,,,,,,,,,,,,,281.857
110,D00110,,,콩나물,,,,나물류,50,,25.344,,,,1.68,1.65,0.944,,,,,,,,,,,,,,,,,,,,,213.95
111,D00111,,,가래떡,,,,떡류,100,,208.204,,,,3.807,0.333,47.494,,,,,,,,,,,,,,,,,,,,,256.958
112,D00112,,,경단(깨),,,,떡류,100,,319.466,,,,4.442,0.536,74.219,,,,,,,,,,,,,,,,,,,,,180.002
113,D00113,,,경단(콩),,,,떡류,100,,314.324,,,,3.513,0.461,74.031,,,,,,,,,,,,,,,,,,,,,225.828
114,D00114,,,기피편,,,,떡류,100,,219.967,,,,5.449,0.247,48.988,,,,,,,,,,,,,,,,,,,,,281.057
115,D00115,,,꿀떡,,,,떡류,100,,217.805,,,,3.824,0.787,48.857,,,,,,,,,,,,,,,,,,,,,250.904
116,D00116,,,녹두시루떡,,,,떡류,100,,246.07,,,,7.738,2.534,48.077,,,,,,,,,,,,,,,,,,,,,263.663
117,D00117,,,메밀전병,,,,떡류,100,,167.827,,,,6.185,6.289,21.62,,,,,,,,,,,,,,,,,,,,,345.805
118,D00118,,,모듬찰떡,,,,떡류,100,,222.911,,,,5.714,1.168,47.385,,,,,,,,,,,,,,,,,,,,,237.086
119,D00119,,,무지개떡,,,,떡류,100,,228.974,,,,3.53,0.312,53.011,,,,,,,,,,,,,,,,,,,,,276.823
120,D00120,,,백설기,,,,떡류,100,,228.267,,,,3.643,0.408,52.507,,,,,,,,,,,,,,,,,,,,,288.599
121,D00121,,,송편(깨),,,,떡류,100,,224.146,,,,4.925,2.735,44.957,,,,,,,,,,,,,,,,,,,,,231.821
122,D00122,,,송편(콩),,,,떡류,100,,194.334,,,,5.237,0.749,41.661,,,,,,,,,,,,,,,,,,,,,233.504
123,D00123,,,수수부꾸미,,,,떡류,100,,247.892,,,,5.729,6.287,42.099,,,,,,,,,,,,,,,,,,,,,261.002
124,D00124,,,수수팥떡,,,,떡류,100,,204.241,,,,6.696,0.591,43.034,,,,,,,,,,,,,,,,,,,,,241.926
125,D00125,,,시루떡,,,,떡류,100,,217.481,,,,5.466,0.607,47.539,,,,,,,,,,,,,,,,,,,,,277.907
126,D00126,,,쑥떡,,,,떡류,100,,248.635,,,,3.359,0.404,57.889,,,,,,,,,,,,,,,,,,,,,254.32
127,D00127,,,약식,,,,떡류,100,,244.376,,,,3.708,2.245,52.334,,,,,,,,,,,,,,,,,,,,,289.326
128,D00128,,,인절미,,,,떡류,100,,220.947,,,,5.653,1.862,45.394,,,,,,,,,,,,,,,,,,,,,341.371
129,D00129,,,절편,,,,떡류,100,,192.886,,,,3.642,0.285,43.938,,,,,,,,,,,,,,,,,,,,,265.867
130,D00130,,,증편,,,,떡류,100,,192.728,,,,2.665,0.304,44.833,,,,,,,,,,,,,,,,,,,,,264.168
131,D00131,,,찹쌀떡,,,,떡류,100,,276.866,,,,3.265,0.153,65.609,,,,,,,,,,,,,,,,,,,,,225.61
